osm_id,osm_type,osm_url,name,description,addr_street,addr_housenumber,addr_city,addr_postcode,addr_province,lat,lon,opening_hours,access,operator,phone,ref,indoor,level,last_updated
3769748372,node,https://www.openstreetmap.org/node/3769748372,Defibrillatore DAE Chiesa dei Salesiani,,,,,,,40.3637584,18.1826937,,,,,,,,2026-03-22
3769750225,node,https://www.openstreetmap.org/node/3769750225,Defibrillatore Scuola Media Quinto Ennio,,Via Matteo Renato Imbriani,46,Lecce,73100,LE,40.3555763,18.1825285,,,,,,,,2026-03-22
3770036333,node,https://www.openstreetmap.org/node/3770036333,ACI Lecce,,Via Giuseppe Candido,2,Lecce,73100,LE,40.3500105,18.1771459,"Mo-Fr 08:00-13:00, 16:00-18:00; Sa 08:00-11:00; Aug Mo,We,Fr 08:00-13:00; Aug Sa off; Jul Mo,We,Fr 08:00-13:00; PH off",,Automobile Club d'Italia,+39 0832 309066,,,,2026-03-22
3770036334,node,https://www.openstreetmap.org/node/3770036334,Check Up Centre,,Via Daniela e Paola Bastianutti,35,Lecce,73100,LE,40.3423573,18.1600599,,,,+39 0832 352419,,,,2026-03-22
3770094807,node,https://www.openstreetmap.org/node/3770094807,Defibrillatore DAE Circolo Tennis,,,,,,,40.3569618,18.1681175,,,,,,,,2026-03-22
3770112780,node,https://www.openstreetmap.org/node/3770112780,Confcommercio Lecce,,Via Cicolella,3,Lecce,73100,LE,40.3444467,18.1830945,,,,+39 0832 345146,,,,2026-03-22
3770174106,node,https://www.openstreetmap.org/node/3770174106,Defibrillatore DAE Istituto Magistrale Siciliani,,,,,,,40.3472947,18.1738948,,,,,,yes,,2026-03-22
3770174863,node,https://www.openstreetmap.org/node/3770174863,DAE c/o Liceo Classico Statale Giuseppe Palmieri,,,,,,,40.3545462,18.1662771,,,,,,,,2026-03-22
3770204845,node,https://www.openstreetmap.org/node/3770204845,Defibrillatore DAE del CUS Lecce,,,,,,,40.3614079,18.1682476,,,,,,yes,,2026-03-22
3770263210,node,https://www.openstreetmap.org/node/3770263210,Defibrillatore DAE Polizia Municipale,,,,,,,40.3495441,18.1858273,,,,,,,,2026-03-22
3813039322,node,https://www.openstreetmap.org/node/3813039322,Giudice di Pace,,,,,,,40.3622136,18.1709295,,,,,,,,2026-03-22
3859476091,node,https://www.openstreetmap.org/node/3859476091,ICOS Lecce,,Via Luigi Einaudi,12,Lecce,73100,LE,40.3591156,18.1577752,,,,,,,,2026-03-22
3859793276,node,https://www.openstreetmap.org/node/3859793276,Dott. Mario Gazzabin,,Via Enzo Sozzo,9,Lecce,73100,LE,40.3460349,18.1842776,,,,,,,,2026-03-22
3861014024,node,https://www.openstreetmap.org/node/3861014024,Defibrillatore DAE Centro Medico Pignatelli,,,,,,,40.3471194,18.1656652,,,,,,,,2026-03-22
3861014025,node,https://www.openstreetmap.org/node/3861014025,Defibrillatore DAE I.I.S.S. De Pace,,,,,,,40.3471722,18.1783707,,,,,,,,2026-03-22
3861014026,node,https://www.openstreetmap.org/node/3861014026,Defibrillatore DAE Istituto Tecnico Deledda,,,,,,,40.3612292,18.1941529,,,,,,,,2026-03-22
3861014027,node,https://www.openstreetmap.org/node/3861014027,Defibrillatore DAE Laboratorio Pignatelli,,,,,,,40.3474037,18.1659474,,,,,,,,2026-03-22
3861014028,node,https://www.openstreetmap.org/node/3861014028,Defibrillatore DAE Liceo Scientifico Banzi Bazoli,,,,,,,40.3611203,18.1924708,,,,,,,,2026-03-22
3861014029,node,https://www.openstreetmap.org/node/3861014029,Defibrillatore DAE Medic's Biomedica,,,,,,,40.3542573,18.151898,,,,,,,,2026-03-22
3861014030,node,https://www.openstreetmap.org/node/3861014030,Defibrillatore DAE Palazzo Carafa,,,,,,,40.3535788,18.1717592,,,,,,yes,,2026-03-22
3861014031,node,https://www.openstreetmap.org/node/3861014031,Defibrillatore DAE Tribunale Civile,,,,,,,40.3624315,18.1705735,,,,,,,,2026-03-22
3861014032,node,https://www.openstreetmap.org/node/3861014032,Defibrillatore DAE Tribunale Penale,,,,,,,40.3591324,18.1731686,,,,,,,,2026-03-22
3861080739,node,https://www.openstreetmap.org/node/3861080739,DAE c/o RX CALABRESE,,,,,,,40.3221111,18.1337556,,,,,,,,2026-03-22
3874229578,node,https://www.openstreetmap.org/node/3874229578,DAE c/o Uffici Comunali,,,,,,,40.352644,18.1693089,,,,,,,,2026-03-22
